t_ns,constellation,svid,cn0,baseband_cn0,elev,azim,used_in_fix,has_ephemeris,has_almanac,carrier_freq_hz
21492224257758,1,5,28.8,23.8,7.2011967,187.39137,true,false,true,1.57542E9
21492224257758,1,6,37.0,32.0,57.55145,30.033762,true,true,true,1.57542E9
21492224257758,1,11,44.4,39.4,78.61989,259.4085,true,true,true,1.57542E9
21492224257758,1,12,38.7,33.7,37.090458,321.1482,true,true,true,1.57542E9
21492224257758,1,13,41.9,36.9,0.0,0.0,false,false,false,1.57542E9
21492224257758,1,14,27.2,22.2,10.03356,133.98976,true,true,true,1.57542E9
21492224257758,1,17,27.9,22.9,17.450932,72.300896,true,true,true,1.57542E9
21492224257758,1,19,34.3,29.3,42.757076,46.313805,true,true,true,1.57542E9
21492224257758,1,21,35.3,30.3,29.160366,159.61255,true,true,true,1.57542E9
21492224257758,1,22,36.8,31.8,30.709385,127.65132,true,true,true,1.57542E9
21492224257758,1,24,43.7,38.7,31.673704,245.6378,true,true,true,1.57542E9
21492224257758,4,194,34.1,29.1,22.728136,102.63548,false,true,true,1.57542E9
21492224257758,4,195,38.8,33.8,31.794146,60.491924,true,true,true,1.57542E9
21492224257758,2,127,38.2,33.2,0.0,0.0,false,false,false,1.57542E9
21492224257758,2,128,40.7,35.7,0.0,0.0,false,false,false,1.57542E9
21492224257758,3,9,41.0,36.0,64.30326,168.79558,true,false,true,1.600875E9
21492224257758,3,16,26.7,21.7,10.0462675,154.17075,true,true,true,1.6014374E9
21492224257758,3,11,36.7,31.7,8.010245,331.44568,true,true,true,1.602E9
21492224257758,3,20,44.6,39.6,60.95836,315.82425,false,false,true,1.603125E9
21492224257758,3,19,33.9,28.9,28.463408,28.164429,true,true,true,1.6036876E9
21492224257758,3,21,40.2,35.2,33.73225,254.96039,true,true,true,1.60425E9
21492224257758,5,42,27.1,22.1,10.460517,85.294266,true,false,true,1.561098E9
21492224257758,5,38,29.4,24.4,48.723175,31.122686,true,true,true,1.561098E9
21492224257758,5,37,46.3,41.3,43.806587,305.02945,true,true,true,1.561098E9
21492224257758,5,33,30.0,25.0,9.557493,137.03268,false,false,true,1.561098E9
21492224257758,5,28,41.4,36.4,54.73444,287.14972,true,true,true,1.561098E9
21492224257758,5,27,38.4,33.4,17.616747,256.19324,true,true,true,1.561098E9
21492224257758,5,25,31.3,26.3,23.006046,160.22916,true,true,true,1.561098E9
21492224257758,5,23,45.7,40.7,64.71858,200.32126,true,true,true,1.561098E9
21492224257758,5,14,26.5,21.5,5.2984915,63.86819,true,false,true,1.561098E9
21492224257758,5,13,26.3,21.3,63.67842,349.53174,true,true,true,1.561098E9
21492224257758,5,10,29.4,24.4,10.5984125,164.80104,true,false,true,1.561098E9
21492224257758,5,9,28.9,23.9,29.905313,144.81247,true,false,true,1.561098E9
21492224257758,5,8,37.9,32.9,36.069016,53.90842,true,true,true,1.561098E9
21492224257758,5,6,41.6,36.6,37.859818,116.10368,true,true,true,1.561098E9
21492224257758,5,3,36.9,31.9,39.684315,127.864334,false,false,true,1.561098E9
21492224257758,5,2,36.3,31.3,54.49168,175.09009,true,false,true,1.561098E9
21492224257758,5,1,36.7,31.7,15.845079,103.612366,true,false,true,1.561098E9
21492224257758,6,2,34.1,29.1,57.50424,105.59188,true,true,true,1.57542E9
21492224257758,6,15,35.5,30.5,37.82866,216.92137,true,true,true,1.57542E9
21492224257758,6,18,26.2,21.2,60.29208,28.139,true,false,true,1.57542E9
21492224257758,6,25,27.7,22.7,6.934183,125.742516,false,true,true,1.57542E9
21492224257758,6,30,36.9,31.9,59.08286,334.6182,true,true,true,1.57542E9
21492224257758,6,34,38.4,33.4,86.850945,51.776615,true,true,true,1.57542E9
